"Número Licitação";"Número Processo";"Objeto";"Modalidade Compra";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000022018";"63467003237201812";"Objeto: Pregão Eletrônico -  Registro de preço para aquisição do medicamento TAFAMIDIS de 20 mg.";"Pregão - Registro de Preço";"Publicado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"785344";"DELEGACIA DA CAPITANIA DOS PORTOS EM ITAJAí";"ITAJAI";"11/01/2019";"07/12/2018";"0,0000"
"000022018";"64139003955201873";"Objeto: Pregão Eletrônico -  Aquisição de Peças de Viaturas Blindadas URUTU E CASCAVEL";"Pregão - Registro de Preço";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160522";"28 BATALHAO LOGISITICO";"DOURADOS";"22/01/2019";"22/11/2018";"13116,8000"
"000022018";"64187000371201871";"Objeto: Pregão Eletrônico -  Aquisição de servidores de rede de informática, hardware, software e suprimentos, com instalação, garantia e suporte técnico local";"Pregão - Registro de Preço";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160045";"BASE ADMINISTRATIVA DA GUARNIÇÃO DE FORTALEZA";"FORTALEZA";"25/01/2019";"10/05/2018";"196147,2000"
"000022018";"64304003810201813";"Objeto: A escolha da proposta mais vantajosa para a contratação de empresa especializada na execução de serviço não comum de engenharia, para a reparação das instalações elétricas de baixa tensão do 10ª Pelotão de Polícia do Exército, mediante o regime empreitada por preço unitário, conforme especificações constantes no Projeto Básico 038/2018   CRO/7   ANEXO I, que é parte integrante deste Edital";"Tomada de Preços";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160193";"COMANDO 10 BRIGADA DE INFANTARIA MOTORIZADA";"RECIFE";"09/01/2019";"";"121226,8600"
"000022018";"64305028804201869";"Objeto: Contratação de empresa especializada na execução de 1 fase de de serviço de reparação das fachadas dos PNR dos Oficiais";"Tomada de Preços";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160047";"COMANDO 10ª REGIAO MILITAR";"FORTALEZA";"30/01/2019";"";"785489,4400"
"000022018";"64319009230201871";"Objeto: Construção do remanescente de obra do bloco n 04, composto por 24 (vinte e quatro) apartamentos para subtenentes e sargentos na Vila Militar Duque de Caxias, situado na Cidade de Belém, Estado do Pará.";"Concorrência";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160163";"COMANDO DA 8 REGIAO MILITAR/8 DE";"BELEM";"07/01/2019";"";"3986518,3900"
"000022018";"64410006025201813";"Objeto: Credenciamento de Organizações Civis de Saúde (OCS) e Profissionais de Saúde Autônomos (PSA) para a prestação de serviços complementares de assistência médico/hospitalar, ambulatorial, atendimento de emergência/urgência em regime de 24 horas diárias, odontológica e de reabilitação aos beneficiários do Fundo de Saúde do Exercito (SAMMED/FUSEx) e seus dependentes.";"Inexigibilidade de Licitação";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160230";"15 COMPANHIA DE ENGENHARIA DE COMBATE";"PALMAS";"15/01/2019";"";"510990,0000"
"000022018";"64457001230201848";"Objeto: Pregão Eletrônico -  Aquisição de material farmacológico, hospitalar e odontológico visando atender às necessidades do 21º Depósito de Suprimento e UG Participantes conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.";"Pregão - Registro de Preço";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160494";"21.DEPOSITO DE SUPRIMENTO";"SAO PAULO";"14/01/2019";"18/10/2018";"67859,0000"
"000022018";"64594001430201826";"Objeto: Prestação de serviços médicos na especialidade  de OTORINOLARINGOLOGISTA";"Inexigibilidade de Licitação";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160416";"HOSPITAL GERAL DE SANTA MARIA";"SANTA MARIA";"25/01/2019";"";"500000,0000"
"000022018";"65315011386201814";"Objeto: Contratação de empresa especializada na execução de Serviços Técnicos Profissionais e Projeto Executivos, conforme item 1.2 do Anexo I do Edital.";"Tomada de Preços";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160034";"6º BATALHÃO DE POLÍCIA DO EXÉRCITO";"SALVADOR";"24/01/2019";"";"46656,5500"
"000022018";"65328.003199/2018";"Objeto: Adequação da Infraestrutura elétrica da 3ª Bateria de Artilharia Antiaérea, em Três Lagoas, MS";"Tomada de Preços";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160141";"COMISSÃO REGIONAL DE OBRAS DA 9ª RM";"CAMPO GRANDE";"28/01/2019";"";"91887,3800"
"000022018";"78671011813201825";"Objeto: Pregão Eletrônico -  Contratação de serviço de controle de vetores e pragas, desinsetização, desratização, descupinização, visando atender às necessidades do 16  Batalhão de Infantaria Motorizado.";"Pregão - Registro de Preço";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160340";"16º BATALHÃO DE INFANTARIA MOTORIZADO";"NATAL";"17/01/2019";"08/01/2019";"7203,9000"
"000022018";"80623002123201889";"Objeto: Pregão Eletrônico -  Aquisição de Mourão de concreto curvado e tela metálica.";"Pregão - Registro de Preço";"Evento de Resultado de Julgame";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160174";"15º BATALHÃO DE INFANTARIA MOTORIZADO";"JOAO PESSOA";"08/01/2019";"27/12/2018";"0,0000"
"000022018";"ERBS/002.2018";"Objeto: Contratação de empresa de fornecimento de energia eletrica de natureza continuada para o ERBS/Fundacentro.";"Dispensa de Licitação";"Encerrado";"25000";"Ministério da Economia";"37201";"Fundação Jorge Duprat Figueiredo, de Seguranç";"264004";"FUNDACENTRO - FUND.JORGE DUPRAT/ERBS - SP";"SANTOS";"24/01/2019";"";"4800,0000"
"000022019";"00000008071201898";"Objeto: Aquisição de Material de Consumo para Manutenção de Bens Móveis.";"Dispensa de Licitação";"Publicado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160019";"HOSPITAL DE GUARNICAO DE TABATINGA";"TABATINGA";"24/01/2019";"";"8040,5000"
"000022019";"000003/2019-EsAO";"Objeto: Pagamento cobertura de seguro de viatura";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160311";"ESCOLA DE APERFEICOAMENTO DE OFICIAIS";"RIO DE JANEIRO";"29/01/2019";"";"5000,0000"
"000022019";"00000545/2019-64";"Objeto: Contratação de serviços de locação de impressoras multifuncionais.";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160177";"71 BATALHAO DE INFANTARIA MOTORIZADO";"GARANHUNS";"24/01/2019";"";"3720,0000"
"000022019";"00002/01/2019";"Objeto: Aquisição de material permanente para atender as necessidades de montagem da sala de operadores do CCOp GUEs/9ª Bda Inf Mtz.";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160295";"CMDO GRUPAMENTO UNID.ESCOLA/9ª BDA INF MTZ";"RIO DE JANEIRO";"28/01/2019";"";"10840,0000"
"000022019";"00002/2019";"Objeto: Credenciamento Médico Para Prestação de Serviços Assistenciais à Saúde";"Inexigibilidade de Licitação";"Publicado";"25000";"Ministério da Economia";"25207";"Serviço Federal de Processamento de Dados";"803030";"SERPRO - REGIONAL FORTALEZA";"FORTALEZA";"07/01/2019";"";"100,0000"
"000022019";"0002";"Objeto: Contratação de serviço de fornecimento de Energia Elétrica 209";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160365";"HOSPITAL DE GUARNICAO DE BAGE";"BAGE";"17/01/2019";"";"10000,0000"
"000022019";"000476/2019-70";"Objeto: Fornecimento de água encanada";"Inexigibilidade de Licitação";"Encerrado";"26000";"Ministério da Educação";"26236";"Universidade Federal Fluminense";"153001";"SUBCOORD.DA UNID.AVANC.J.VERISSIMO";"ORIXIMINA";"28/01/2019";"";"16000,0000"
"000022019";"000477/2019-14";"Objeto: Água mineral sem em garrafão";"Dispensa de Licitação";"Encerrado";"26000";"Ministério da Educação";"26236";"Universidade Federal Fluminense";"153001";"SUBCOORD.DA UNID.AVANC.J.VERISSIMO";"ORIXIMINA";"28/01/2019";"";"6000,0000"
"000022019";"00066000527201998";"Objeto: Contratação de empresa especializada na execução de serviços de extermínio e controle de pragas (desinsetização, desratização), nas instalações da ANAC em São Paulo.";"Dispensa de Licitação";"Encerrado";"39000";"Ministério da Infraestrutura";"62201";"Agência Nacional de Aviação Civil";"113217";"REPRESENTAÇÃO REGIONAL SÃO PAULO_- ANAC";"SAO PAULO";"23/01/2019";"";"850,0000"
"000022019";"00095000000932019";"Objeto: Aquisição de materiais fragmentadora de papel para atender as necessidades da Sociedade de Transportes Coletivos de Brasília   TCB.Fragmentadora de Papel 8 folhas 220v, com cesto capacidade para 12 L ou 55 folhas, corte em tirar de 6mm de segurança, com botão seguro para evitar acidentes com criança ou animais, botão com 3 (três) posições Auto/Off/Ver. Sensor automático de presença de papel, proteção contra super aquecimento do motor, capacidade para fragmentar no mínimo  150 folhas por hora";"Dispensa de Licitação";"Encerrado";"99900";"República Federativa do Brasil";"97400";"Distrito Federal";"926167";"SOCIED.DE TRANSP.COLETIVO DE BRASILIA LTDA.";"Inválido";"28/01/2019";"15/01/2019";"1849,9800"
"000022019";"001/01/2019";"Objeto: Prestação de serviço de fornecimento de água e tratamento de esgoto para esta OM para o ano de 2019.";"Inexigibilidade de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160259";"1 GRUPO DE ARTILHARIA ANTIAEREA";"RIO DE JANEIRO";"29/01/2019";"";"17600,0000"
"000022019";"001313/2019-45";"Objeto: Serviço de Consultoria para o Programa de Acompanhamento Institucional PROPESP 2019.";"Inexigibilidade de Licitação";"Encerrado";"26000";"Ministério da Educação";"26239";"Universidade Federal do Pará";"153063";"UNIVERSIDADE FEDERAL DO PARA";"BELEM";"18/01/2019";"";"952,3800"
"000022019";"00135200801201966";"Objeto: Confecção e instalação de letras tipo caixa, em latão dourado para fachada do Ministério da Mulher, da Família e dos Direitos Humanos.";"Dispensa de Licitação";"Encerrado";"81000";"Ministério da Mulher, Família e Direitos Huma";"81000";"Ministério da Mulher, Família e Direitos Huma";"810005";"COORDENACAO-GERAL DE LOGISTICA - MDH";"BRASILIA";"24/01/2019";"";"10398,0000"
"000022019";"002/2019";"Objeto: Pagamento da fatura da CELPE (energia elétrica) referente ao mês de janeiro de 2019.";"Dispensa de Licitação";"Encerrado";"35000";"Ministério das Relações Exteriores";"35000";"Ministério das Relações Exteriores - Unidades";"240027";"ESCRITORIO DE REPRES. NA REG.NORDESTE-ERENE";"BRASILIA";"25/01/2019";"";"922,9000"
"000022019";"002/2019";"Objeto: Contratação de serviços de escalada em árvores nativas nas dependências da Embrapa Florestas.";"Dispensa de Licitação";"Encerrado";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135028";"EMBRAPA/CNPF";"COLOMBO";"22/01/2019";"";"1800,0000"
"000022019";"002/2019";"Objeto: Contratação de fornecimento de energia elétrica para o 1º B Com.";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160250";"1 BATALHAO DE COMUNICACOES";"SANTO ANGELO";"31/01/2019";"";"17600,0000"
"000022019";"0022019";"Objeto: Material destinado a atender as necessidades desta UG.(container)";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160209";"COMANDO 15 BRIGADA DE INFANTARIA MECANIZADA";"CASCAVEL";"30/01/2019";"";"15800,0000"
"000022019";"0022019";"Objeto: Prestação de serviços específico e único em fornecimento de gás natural.";"Dispensa de Licitação";"Publicado";"52000";"Ministério da Defesa";"52222";"Fundação Osório";"164204";"FUNDACAO OSORIO";"RIO DE JANEIRO";"15/01/2019";"";"16518,3900"
"000022019";"003/01/2019";"Objeto: Prestação de serviço de fornecimento de energia elétrica para esta OM para o ano de 2019.";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160259";"1 GRUPO DE ARTILHARIA ANTIAEREA";"RIO DE JANEIRO";"29/01/2019";"";"17600,0000"
"000022019";"003/2019";"Objeto: Aquisição de Carimbos";"Dispensa de Licitação";"Encerrado";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135031";"EMBRAPA/CPACT";"PELOTAS";"08/01/2019";"";"580,0000"
"000022019";"004/2019";"Objeto: Contratação da Empresa Brasileira de Correios e Telégrafos   ECT, para prestação de serviços de postagem e entrega de correspondência.";"Inexigibilidade de Licitação";"Publicado";"52000";"Ministério da Defesa";"52222";"Fundação Osório";"164204";"FUNDACAO OSORIO";"RIO DE JANEIRO";"22/01/2019";"";"6000,0000"
"000022019";"004/2019 - SALC";"Objeto: Contratação de serviço de postagem via Correios.";"Inexigibilidade de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160134";"CENTRO DE INSTRUçAO DE OPERAçOES ESPECIAIS";"NITEROI";"30/01/2019";"";"1,0000"
"000022019";"00452004521201855";"Objeto: Fornecimento de combustíveis (gasolina comum, etanol, diesel S-10 e diesel comum),com percentual de desconto conforme informado na proposta, por um período de 12 (doze) meses, para suprir as necessidades da frota de veículos oficiais e de grupo geradores movidos a diesel da Advocacia-Geral da União no estado de Goias, conforme condições, quantidades e exigências estabelecidas no Termo de Referência.";"Dispensa de Licitação";"Encerrado";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110161";"SUPERINTENDENCIA DE ADM. NO DISTRITO FEDERAL";"BRASILIA";"16/01/2019";"";"16318,9000"
"000022019";"005/IMBEL/FPV/19";"Objeto: Aquisição de Vale Transporte Interurbano";"Inexigibilidade de Licitação";"Publicado";"52000";"Ministério da Defesa";"52221";"Indústria de Material Bélico do Brasil";"168004";"INDUSTRIA DE MATERIAL BELICO DO BRASIL/FPV";"PIQUETE";"14/01/2019";"";"341606,4000"
"000022019";"00506001175201881";"Objeto: Aquisição de água mineral, acondicionada em garrafões de 20 litros, para atender o consumo dos servidores da Advocacia-Geral da União lotados em Petrolina/PE.";"Dispensa de Licitação";"Encerrado";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110096";"SUPERINTENDENCIA ADMINISTRACAO EM PERNAMBUCO";"RECIFE";"22/01/2019";"";"4800,0000"
"000022019";"00566001885201804";"Objeto: Contratação de concessionária de serviço público para fornecimento de água potável e esgotamento sanitário para atender às necessidades da AGU em São José do Rio Preto - SP";"Inexigibilidade de Licitação";"Encerrado";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110099";"SUPERINTENDENCIA ADMINISTRACAO EM SAO PAULO";"SAO PAULO";"22/01/2019";"";"16200,0000"
"000022019";"00597007857201825";"Objeto: Fornecimento de água mineral s/gás em garrafões de 20L (120 un.) para a Procuradoria Seccional Federal de Pelotas/RS.";"Dispensa de Licitação";"Encerrado";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110097";"SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL";"PORTO ALEGRE";"14/01/2019";"";"1680,0000"
"000022019";"00676002407201866";"Objeto: Pregão Eletrônico -  Aquisição de combustíveis (gasolina comum, etanol e diesel S-10), por um período de 12 (doze) meses, para suprir às necessidades da frota de veículos oficiais e de grupo geradores movidos a diesel da Advocacia-Geral da União, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.";"Pregão";"Publicado";"63000";"Advocacia-Geral da União";"63000";"Advocacia-Geral da União - Unidades com víncu";"110161";"SUPERINTENDENCIA DE ADM. NO DISTRITO FEDERAL";"BRASILIA";"16/01/2019";"16/01/2019";"0,0000"
"000022019";"00737008193201870";"Objeto: Aquisição de 180cp OPSUMIT 10MG";"Dispensa de Licitação";"Publicado";"36000";"Ministério da Saúde";"36000";"Ministério da Saúde - Unidades com vínculo di";"250005";"DEPARTAMENTO DE LOGISTICA EM SAUDE - DLOG";"BRASILIA";"14/01/2019";"";"67770,7200"
"000022019";"01207000010201918";"Objeto: Serviço de publicação dos atos oficiais do CETEM no Diário Oficial da União, através da Imprensa Nacional,  durante o exercício de 2019.";"Inexigibilidade de Licitação";"Retificação";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"240127";"CENTRO DE TECNOLOGIA MINERAL";"RIO DE JANEIRO";"14/01/2019";"";"12000,0000"
"000022019";"01207000016201987";"Objeto: Serviço de fornecimento de energia elétrica para o CETEM/RJ - 2019.";"Dispensa de Licitação";"Publicado";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"240127";"CENTRO DE TECNOLOGIA MINERAL";"RIO DE JANEIRO";"18/01/2019";"";"1250306,2800"
"000022019";"01239000023/20191";"Objeto: Serviços de confecção de chaveiros e banner para evento de comemoração do aniversário do INMA.";"Dispensa de Licitação";"Encerrado";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"240252";"INSTITUTO NACIONAL DA MATA ATLANTICA";"SANTA TERESA";"31/01/2019";"";"699,9800"
"000022019";"01240-00021/2018";"Objeto: Forneceimento de gás .";"Dispensa de Licitação";"Encerrado";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"240104";"INSTITUTO NACIONAL DE TECNOLOGIA - INT";"RIO DE JANEIRO";"24/01/2019";"";"468,7600"
"000022019";"01350.001910/2018";"Objeto: Prestação de serviços de publicação no Diário Oficial da União, inclusive em suplemento, de atos oficiais e demais matérias de interesse da AEB.";"Inexigibilidade de Licitação";"Publicado";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"20402";"Agência Espacial Brasileira";"203001";"AGENCIA ESPACIAL BRASILEIRA/AEB";"BRASILIA";"17/01/2019";"";"54000,0000"
"000022019";"01350000064201911";"Objeto: Confecção de uma placa de inauguração do Data Center";"Dispensa de Licitação";"Encerrado";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"20402";"Agência Espacial Brasileira";"203001";"AGENCIA ESPACIAL BRASILEIRA/AEB";"BRASILIA";"10/01/2019";"";"120,0000"
"000022019";"01400.000987/2019";"Objeto: Contratação de empresa CEMIG DISTRIBUIÇÃO S.A, CNPJ sob o nº 06.981.180/0001-16, para prestação de serviços públicos de fornecimento de energia elétrica, para atender a Representação Regional do Ministério da Cultura no Estado de Minas Gerais.";"Dispensa de Licitação";"Encerrado";"55000";"Ministério da Cidadania";"55000";"Ministério da Cidadania - Unidades com víncul";"420001";"COORD.GERAL DE EXEC. ORCAMENTARIA E FINANCEIR";"BRASILIA";"29/01/2019";"";"6303,0000"
"000022019";"01415000053201930";"Objeto: Empresa especializada na prestação de serviços de Limpeza, Conservação, Higienização, Copeiragem, Garçom e Encarregado Geral para a sede do Instituto Brasileiro de Museus   Ibram.";"Dispensa de Licitação";"Publicado";"55000";"Ministério da Cidadania";"42207";"Instituto Brasileiro de Museus";"423002";"IBRAM - SEDE";"BRASILIA";"31/01/2019";"";"328995,0000"
"000022019";"01415000095201385";"Objeto: Contratação dos serviços de fornecimento de  água e coleta de esgotos, para atendimento das necessidades do Museu Regional de Caeté, unidade integrante do Ibram.";"Inexigibilidade de Licitação";"Revogação";"55000";"Ministério da Cidadania";"42207";"Instituto Brasileiro de Museus";"423034";"ESCRITÓRIO DE REPRESENTAÇÃO DO IBRAM/MG-ES";"BELO HORIZONTE";"22/01/2019";"";"1567,7000"
"000022019";"01415000101201302";"Objeto: Contratação dos serviços de fornecimento de energia elétrica, para atendimento das necessidades do Museu Solar Monjardim, unidade integrante do Ibram.";"Dispensa de Licitação";"Encerrado";"55000";"Ministério da Cidadania";"42207";"Instituto Brasileiro de Museus";"423034";"ESCRITÓRIO DE REPRESENTAÇÃO DO IBRAM/MG-ES";"BELO HORIZONTE";"22/01/2019";"";"5634,7200"
"000022019";"01416012809201801";"Objeto: Aquisição de  36 (trinta e seis) Kg de açúcar refinado e 24 (vinte e quatro) frascos de adoçante dietético com 100 ml cada, com fornecimento de acordo com a demanda, a fim de atender às necessidades do Escritório Regional de São Paulo da Agência Nacional do Cinema   ERSP/ANCINE, conforme especificações e quantidades estabelecidas no Termo de Referência.";"Dispensa de Licitação";"Encerrado";"55000";"Ministério da Cidadania";"20203";"Agência Nacional do Cinema";"203003";"AGENCIA NACIONAL DO CINEMA";"RIO DE JANEIRO";"24/01/2019";"";"217,2000"
"000022019";"01416020195201822";"Objeto: Contratação da direta, com base no caput do artigo 25, Lei nº 8.666 de 1993, da EDITORA GLOBO S.A, CNPJ: 04.067.191/0007-55 para o fornecimento de 06 (seis) assinaturas do Jornal O Globo na modalidade digital e 04 (quatro) na modalidade impressa, pelo período de 01 (um) ano, de segunda a domingo, para atender a demanda da Presidência, Diretorias e outros setores da Agência Nacional do Cinema   ANCINE.";"Inexigibilidade de Licitação";"Encerrado";"55000";"Ministério da Cidadania";"20203";"Agência Nacional do Cinema";"203003";"AGENCIA NACIONAL DO CINEMA";"RIO DE JANEIRO";"16/01/2019";"";"9848,6400"
"000022019";"01430000037201959";"Objeto: Serviço Fornecimento de Água e Coleta de Esgoto Sanitário de (Janeiro) a (Dezembro) de 2019.";"Dispensa de Licitação";"Publicado";"55000";"Ministério da Cidadania";"20404";"Fundação Biblioteca Nacional";"344042";"FUNDAÇÃO BIBLIOTECA NACIONAL";"RIO DE JANEIRO";"29/01/2019";"";"230000,0000"
"000022019";"01443000103201861";"Objeto: Trata-se de prestação de serviços de manutenção preventiva e corretiva nos ramais telefônicos do Museu Villa-Lobos.";"Dispensa de Licitação";"Encerrado";"55000";"Ministério da Cidadania";"42207";"Instituto Brasileiro de Museus";"343021";"MUSEU VILLA-LOBOS - RIO DE JANEIRO";"RIO DE JANEIRO";"28/01/2019";"";"3960,0000"
"000022019";"01444000107201839";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada para prestação de serviços contínuos de forma indireta de jardinagem, com fornecimento de mão de obra, insumos, materiais ferramentas e equipamentos necessários a execução dos serviços.";"Pregão";"Evento de Resultado de Julgame";"55000";"Ministério da Cidadania";"42207";"Instituto Brasileiro de Museus";"423002";"IBRAM - SEDE";"BRASILIA";"21/01/2019";"16/01/2019";"208800,0000"
"000022019";"01530000003201936";"Objeto: Despesas com com fornecimento de gás encanado para a Casa de Paschoal Carlos Magno, em Santa Tereza/RJ.  processo 01530.000003/2019-36.";"Dispensa de Licitação";"Encerrado";"55000";"Ministério da Cidadania";"20412";"Fundação Nacional de Artes";"403201";"FUNDACAO NACIONAL DE ARTES";"RIO DE JANEIRO";"31/01/2019";"";"1260,0000"
"000022019";"01530000010201938";"Objeto: Pagamento das despesas com cotas condominiais, que atende a Representação Regional da Funarte São Paulo, no exercício de 2018, Condomínio do Edifício Regina Badra.";"Inexigibilidade de Licitação";"Encerrado";"55000";"Ministério da Cidadania";"20412";"Fundação Nacional de Artes";"403201";"FUNDACAO NACIONAL DE ARTES";"RIO DE JANEIRO";"31/01/2019";"";"12600,0000"
"000022019";"018/2019";"Objeto: Prestação de serviços de suporte técnico para viabilizar o acesso ao sistema UNISPAT, pelo período de 30 (trinta) dias, para atender às necessidades do Laboratório Nacional de Computação Científica   LNCC.";"Dispensa de Licitação";"Encerrado";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"24000";"Ministério da Ciência, Tecnologia, Inovações ";"240123";"LABORATORIO NACIONAL DE COMPUTACAO CIENTIFICA";"PETROPOLIS";"29/01/2019";"";"800,0000"
"000022019";"02";"Objeto: Pagamento de taxa/tributo oficial, renovação de AFT.";"Dispensa de Licitação";"Encerrado";"22000";"Ministério da Agricultura, Pecuária e Abastec";"22202";"Empresa Brasileira de Pesquisa Agropecuária";"135032";"EMBRAPA/CNPT";"PASSO FUNDO";"16/01/2019";"";"227,5000"
"000022019";"02";"Objeto: Produção gráfica de Edição da Revista do SVPM em comemoração ao Dia dos Veteranos da Marinha";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52131";"Comando da Marinha";"764200";"SERVICO DE VETERANOS E PENS. DA MARINHA";"RIO DE JANEIRO";"25/01/2019";"";"5720,0000"
"000022019";"02";"Objeto: Serviço de fornecimento de energia elétrica.";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160485";"4 CIRCUNSCRICAO DE SERVICO MILITAR";"SAO PAULO";"30/01/2019";"";"11707,8300"
"000022019";"02/2019";"Objeto: Pagamento de Seguro Obrigatório de Viaturas Administrativa do Batalhão";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160116";"17º BATALHÃO LOGíSTICO LEVE";"JUIZ DE FORA";"30/01/2019";"";"556,2500"
"000022019";"02009003444201880";"Objeto: O fornecimento parcelado de gás liquefeito de petróleo (GLP) em botijão de 13 Kg para abastecimento da cozinha da Superintendência do IBAMA no Estado do Espírito Santo - SUPES/ES, e suas unidades vinculadas, em conformidade com as necessidade desta instituição para o exercício de 2019.";"Dispensa de Licitação";"Encerrado";"44000";"Ministério do Meio Ambiente";"20701";"Instituto Brasileiro do Meio Ambiente e dos R";"193107";"IBAMA - SUPERINTENDENCIA DO ESPIRITO SANTO/ES";"VITORIA";"31/01/2019";"";"1300,0000"
"000022019";"02018013300201822";"Objeto: Contratação de empresa especializada para execução de serviços de manutenção preventiva e corretiva, com fornecimento de peças, componentes e outros materiais, em 01 (um) elevador,  marca ORONA, instalado no prédio da atual Sede da Superintendência do IBAMA no Estado do Pará.";"Dispensa de Licitação";"Publicado";"44000";"Ministério do Meio Ambiente";"20701";"Instituto Brasileiro do Meio Ambiente e dos R";"193114";"IBAMA - SUPERINTENDENCIA DO PARA/PA";"BELEM";"31/01/2019";"";"11280,0000"
"000022019";"02024000336201948";"Objeto: Pagamento de taxa de ABERTURA DE PROCESSO, do imóvel de propriedade da SUPES/RO, no município de PORTO VELHO-RO. Referente a solicitação renovação de declaração de imunidade e revalidação declaratória de não incidência de taxa pelo poder de polícia.";"Inexigibilidade de Licitação";"Publicado";"44000";"Ministério do Meio Ambiente";"20701";"Instituto Brasileiro do Meio Ambiente e dos R";"193121";"IBAMA - SUPERINTENDENCIA DE RONDONIA/RO";"PORTO VELHO";"28/01/2019";"";"24,0600"
"000022019";"02153000058201872";"Objeto: Contratação de empresa para fornecimento de energia elétrica para Unidades Consumidoras do Grupo A e B, para atender as necessidades das Unidades denominadas Floresta Nacional de Ipanema e Centro de Formação em Conservação da Biodiversidade - ACADEBIO, ambas integrantes da estrutura organizacional do ICMBio no Estado de São Paulo e localizadas no território do município de Iperó/SP, a 1ª consumidora do Grupo B (baixa tensão) e a 2ª, dos grupos A e B, baixa e média tensão.";"Dispensa de Licitação";"Publicado";"44000";"Ministério do Meio Ambiente";"44207";"Instituto Chico Mendes de Conservação da Biod";"443048";"INST.CHICO MENDES DE CONSER. BIO - FOZ IGUAÇU";"FOZ DO IGUACU";"28/01/2019";"";"179155,0000"
"000022019";"022019";"Objeto: Contratação de revalidação de certificado digital CNPJ";"Dispensa de Licitação";"Encerrado";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160382";"1º CENTRO DE GEOINFORMAÇÃO";"PORTO ALEGRE";"22/01/2019";"";"475,0000"
